,assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_link,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
206,0.07,0.78,63.2,5.0,66.7%,0.63,57.8%,0.77,0.60,2,-,Chile,17278,https://www.hltv.org/stats/players/17278/nazek,nazek,0.76,45,0.24,0.07,35,27
207,0.12,0.73,73.4,3.7,40.1%,0.91,67.2%,0.92,0.67,9,-,China,11363,https://www.hltv.org/stats/players/11363/ivy,ivy,0.95,241,0.06,0.12,177,162
208,0.12,0.75,76.2,2.1,64.3%,0.96,75.0%,0.78,0.58,1,-,United States,17631,https://www.hltv.org/stats/players/17631/clouds,clouds,1.03,24,0.04,0.12,18,14
209,0.12,0.64,63.8,3.0,52.1%,0.87,68.6%,0.99,0.64,12,-,Finland,9749,https://www.hltv.org/stats/players/9749/pnarek,pnarek,0.97,298,0.14,0.06,191,190
210,0.09,0.80,53.9,5.9,70.0%,0.48,60.0%,0.56,0.44,2,25,Brazil,18263,https://www.hltv.org/stats/players/18263/roque,Roque,0.66,45,0.07,0.09,36,20
211,0.33,0.85,65.6,6.1,47.4%,0.71,60.9%,0.49,0.41,2,28,Poland,14681,https://www.hltv.org/stats/players/14681/xas,XAS,0.68,46,0.11,0.02,39,19
212,0.11,0.75,78.5,4.5,43.1%,0.95,69.4%,0.98,0.74,11,21,Sweden,17314,https://www.hltv.org/stats/players/17314/spuffy,spuffy,1.03,284,0.11,0.11,213,209
213,0.10,0.75,66.4,2.1,58.2%,0.86,64.9%,0.81,0.61,31,-,Brazil,17586,https://www.hltv.org/stats/players/17586/ko,koé,0.88,784,0.14,0.10,588,476
214,0.21,0.84,71.7,2.4,28.6%,0.72,60.5%,0.66,0.55,2,28,Laos,19256,https://www.hltv.org/stats/players/19256/munez,MuNez,0.71,38,0.03,0.08,32,21
215,0.17,0.71,68.5,1.5,50.0%,0.93,64.3%,0.93,0.66,17,31,United States,9494,https://www.hltv.org/stats/players/9494/allennn,AlleNNN,0.97,400,0.08,0.11,284,264
216,0.16,0.70,66.8,0.1,51.2%,0.92,74.0%,0.84,0.59,3,21,Korea,19755,https://www.hltv.org/stats/players/19755/ryzzi,RyZzi,0.98,73,0.10,0.15,51,43
217,0.16,0.74,67.2,4.1,45.2%,0.92,64.9%,0.79,0.59,22,28,Taiwan,12190,https://www.hltv.org/stats/players/12190/jhd,jhd,0.89,564,0.09,0.11,418,332
218,0.07,0.69,70.5,2.3,41.9%,0.99,68.2%,1.00,0.69,8,25,United States,14806,https://www.hltv.org/stats/players/14806/narcs,narcs,1.01,214,0.14,0.07,148,148
219,0.14,0.69,69.7,3.1,61.8%,0.99,68.1%,0.94,0.65,21,-,Russia,20159,https://www.hltv.org/stats/players/20159/mrsk,mRSK,0.99,524,0.15,0.13,361,340
220,0.17,0.71,70.3,3.7,35.2%,0.91,67.1%,0.81,0.58,10,29,Brazil,14434,https://www.hltv.org/stats/players/14434/kinud,kinud,0.93,252,0.07,0.11,178,145
